adj,noun,article,group
purple,leg,a,20
dark,dog,a,1
yellow,chick,a,2
dirty,pig,a,3
pink,pear,a,4
purple,row,a,5
yellow,juice,NA,6
yellow,turtle,a,7
purple,ball,a,8
yellow,table,a,9
limp,sheep,a,10
silver,shell,a,11
purple,collar,a,12
brown,paper,a,13
dirty,bowl,a,14
yellow,lid,a,15
dead,turtle,a,16
silver,card,a,17
red,truck,a,18
pink,fairy,a,19
yellow,stick,a,20
slippery,ice,NA,1
hot,juice,NA,2
red,rail,a,3
dirty,slide,a,4
giant,circle,a,5
pink,paper,a,6
green,bucket,a,7
yellow,paint,NA,8
brown,basket,a,9
green,mountain,a,10
barefoot,ballerina,a,11
pink,tail,a,12
bright,color,a,13
red,coat,a,14
dirty,ground,NA,15
fat,toe,a,16
solar,star,a,17
purple,puppy,a,18
red,sign,a,19
hot,mitt,a,20
pink,dress,a,1
green,ham,NA,2
dead,skin,NA,3
red,road,a,4
red,block,a,5
orange,goldfish,a,6
metallic,color,a,7
bottom,lip,a,8
ivory,hippopotamus,a,9
giant,bucket,a,10
red,wheat,NA,11
tin,box,a,12
red,store,a,13
thick,mustache,a,14
fat,girl,a,15
rubber,line,a,16
orange,hat,a,17
green,wall,a,18
yellow,tube,a,19
red,lid,a,20
green,eagle,an,1
bright,heel,a,2
green,animal,an,3
fat,belly,a,4
green,pony,a,5
outside,bird,a,6
pink,lipstick,NA,7
red,petal,a,8
green,lego,a,9
yellow,pig,a,10
silky,web,a,11
plastic,bag,a,12
dark,circle,a,13
yellow,leg,a,14
dark,sheep,a,15
dirty,plant,a,16
wet,tea,NA,17
green,pumpkin,a,18
purple,head,a,19
hot,earth,NA,20
juicy,fruit,NA,1
purple,patch,a,2
pink,jam,NA,3
back,porch,a,4
silver,police,NA,5
yellow,broom,a,6
giant,lady,a,7
pink,heart,a,8
orange,blueberry,a,9
dark,glass,NA,10
furry,teddy,a,11
hot,corn,NA,12
purple,bucket,a,13
pink,star,a,14
red,planet,a,15
yellow,pin,a,16
brown,boot,a,17
dead,storm,a,18
yellow,hay,NA,19
wet,mouth,a,20
green,board,a,1
salty,chicken,a,2
bald,boy,a,3
twin,brother,a,4
yellow,leave,a,5
yellow,pot,a,6
pink,hair,a,7
green,ocean,an,8
hot,bacon,NA,9
red,paper,a,10
orange,animal,an,11
wet,day,a,12
red,bowl,a,13
red,squirrel,a,14
orange,grin,a,15
slippery,ground,NA,16
orange,broom,a,17
red,book,a,18
gold,tooth,a,19
dark,orange,an,20
red,ocean,an,1
green,soup,NA,2
gold,dinosaur,a,3
green,heart,a,4
red,turtle,a,5
green,bone,a,6
red,moon,a,7
red,scarf,a,8
red,shirt,a,9
purple,balloon,a,10
dirty,arm,an,11
plastic,animal,an,12
purple,coat,a,13
purple,arm,an,14
brown,bone,a,15
pink,collar,a,16
colored,dot,a,17
purple,pony,a,18
colored,water,NA,19
red,dress,a,20
dark,movie,a,1
plastic,water,NA,2
purple,spot,a,3
furry,mountain,a,4
red,gym,a,5
brown,bear,a,6
purple,butterfly,a,7
red,sun,the,8
hot,honey,NA,9
bright,picture,a,10
silver,foot,a,11
khaki,shorts,NA,12
slippery,floor,a,13
fat,baby,a,14
sunny,day,a,15
purple,flower,a,16
orange,sunglass,a,17
green,arm,an,18
orange,peel,a,19
pink,picture,a,20
dirty,color,a,1
orange,circle,a,2
thick,card,a,3
yellow,apple,an,4
red,hen,a,5
pink,sock,a,6
red,freight,NA,7
red,pole,a,8
hot,syrup,a,9
wet,pumpkin,a,10
hot,donut,a,11
khaki,pig,a,12
purple,noodle,a,13
green,square,a,14
red,mouth,a,15
pregnant,vegetable,a,16
red,punch,a,17
red,horse,a,18
orange,pentagon,a,19
yellow,guitar,a,20
red,collar,a,1
sandy,shoe,a,2
green,bird,a,3
buttered,stew,a,4
upstairs,toy,a,5
wooden,tooth,a,6
wet,pillow,a,7
red,dragon,a,8
purple,brace,a,9
fuzzy,creature,a,10
orange,sheet,a,11
hot,air,NA,12
wet,paper,a,13
green,potty,a,14
square,box,a,15
dead,fish,a,16
hot,log,a,17
orange,turtle,a,18
dirty,sock,a,19
orange,planet,a,20
red,caboose,a,1
red,cake,a,2
pink,milk,NA,3
yellow,squash,a,4
red,rock,a,5
bright,tail,a,6
red,gown,a,7
wet,floor,a,8
snowy,day,a,9
yellow,cheese,NA,10
wet,soap,NA,11
red,leaf,a,12
wet,sand,NA,13
plastic,piece,a,14
yellow,submarine,a,15
giant,puppet,a,16
dirty,seat,a,17
sunny,house,a,18
silver,dinosaur,a,19
red,basket,a,20
wet,page,a,1
wet,paw,a,2
orange,noodle,a,3
grey,elephant,an,4
hot,pea,a,5
orange,drink,a,6
green,hat,a,7
red,heart,a,8
sandy,cookie,a,9
dead,leaf,a,10
green,alligator,an,11
bright,fish,a,12
hip,bone,a,13
fuzzy,nose,a,14
red,edge,an,15
hot,chip,a,16
green,pea,a,17
pink,table,a,18
icy,sea,a,19
pink,egg,an,20
brown,grass,NA,1
wet,swing,a,2
red,sunshine,NA,3
dark,game,a,4
giant,creature,a,5
yellow,cake,a,6
green,ring,a,7
purple,kitchen,a,8
sweet,sauce,NA,9
hot,beam,a,10
pink,sword,a,11
fat,elephant,an,12
icy,ring,a,13
oval,piece,a,14
velvety,calf,a,15
purple,diamond,a,16
yellow,tongue,a,17
green,color,a,18
bottom,shelf,a,19
pink,leg,a,20
dirty,pillow,a,1
purple,bud,a,2
wet,hair,a,3
bright,engine,an,4
red,square,a,5
green,goldfish,a,6
hot,gun,a,7
gold,shoe,a,8
red,balloon,a,9
hot,day,a,10
yellow,pond,a,11
green,rectangle,a,12
brown,egg,an,13
puffy,cheek,a,14
wet,bucket,a,15
wet,table,a,16
grey,dog,a,17
giant,body,a,18
hot,turtle,a,19
top,row,a,20
plastic,scissor,a,1
bright,moon,a,2
hot,house,a,3
purple,screw,a,4
green,lime,a,5
sunny,seat,a,6
pink,gown,a,7
dirty,tank,a,8
brown,eye,an,9
naked,baby,a,10
red,engine,an,11
green,suit,a,12
red,cheek,a,13
red,dog,a,14
red,eye,an,15
concrete,cake,a,16
pinky,toe,a,17
upstairs,crib,a,18
red,stripe,a,19
dirty,soup,NA,20
flat,piece,a,1
bathing,guy,a,2
puffy,branch,a,3
fat,suit,a,4
purple,candy,NA,5
pinky,purple,a,6
sunny,country,a,7
red,deck,a,8
yellow,bear,a,9
juicy,pear,a,10
fuzzy,top,a,11
snowy,bear,a,12
wooden,pot,a,13
wet,water,NA,14
brown,coat,a,15
sweet,onion,an,16
pink,bib,a,17
yellow,phone,a,18
woolly,sheep,a,19
orange,day,a,20
fuzzy,stick,a,1
yellow,circle,a,2
brown,sugar,NA,3
wet,pile,a,4
wet,tear,a,5
grey,clay,NA,6
sweet,pie,a,7
wooden,horse,a,8
brown,page,a,9
fat,child,a,10
giant,octopus,an,11
brown,frog,a,12
purple,floor,a,13
pink,cap,a,14
pink,wand,a,15
wet,cat,a,16
purple,bus,a,17
purple,cap,a,18
fat,bunny,a,19
giant,water,NA,20
yellow,car,a,1
purple,cup,a,2
orange,ear,an,3
fat,guy,a,4
brown,wing,a,5
orange,sweater,a,6
green,mouth,a,7
red,house,a,8
red,jacket,a,9
yellow,costume,a,10
purple,bottle,a,11
green,honey,NA,12
brown,horse,a,13
thick,tree,a,14
red,van,a,15
soapy,towel,a,16
orange,squirrel,a,17
brown,blanket,a,18
hot,tongue,a,19
naked,person,a,20
red,cart,a,1
light,coffee,NA,2
yellow,light,a,3
wet,garage,a,4
gold,window,a,5
hot,blanket,a,6
pink,nose,a,7
light,message,a,8
red,throat,a,9
purple,dog,a,10
outdoor,camp,a,11
red,pepper,a,12
orange,toe,a,13
wet,patch,a,14
red,nail,a,15
hot,steam,NA,16
green,diamond,a,17
purple,eye,an,18
pink,juice,NA,19
dirty,floor,a,20
red,cabin,a,1
pink,tutu,a,2
silver,box,a,3
orange,picture,a,4
dark,alley,an,5
yellow,page,a,6
dark,hay,NA,7
hot,paper,a,8
soapy,bubble,a,9
hot,night,a,10
upstairs,cup,a,11
square,piece,a,12
hot,muffin,a,13
colored,ear,an,14
brown,sky,a,15
hot,nose,a,16
round,circle,a,17
brown,top,a,18
red,mine,a,19
purple,spoon,a,20
male,foot,a,1
pink,suit,a,2
red,parachute,a,3
hot,roll,a,4
fat,cat,a,5
green,strawberry,a,6
pink,sand,NA,7
round,home,a,8
hot,macaroni,NA,9
brown,swing,a,10
dirty,nose,a,11
hot,pig,a,12
red,oil,NA,13
pink,ring,a,14
flat,bed,a,15
red,penguin,a,16
green,chocolate,NA,17
pink,ball,a,18
yellow,noodle,a,19
juicy,meat,NA,20
hot,breakfast,a,1
giant,gorilla,a,2
dark,mouse,a,3
brown,cow,a,4
brown,gravy,NA,5
brown,girl,a,6
green,slide,a,7
purple,pad,a,8
wet,bottom,a,9
furry,foot,a,10
hot,jeans,NA,11
giant,dog,a,12
yellow,shoe,a,13
purple,glass,NA,14
red,street,a,15
purple,bat,a,16
plastic,fork,a,17
dirty,honey,NA,18
red,tractor,a,19
furry,dog,a,20
orange,arm,an,1
hot,cookie,a,2
yellow,glass,NA,3
plastic,child,a,4
dark,tree,a,5
red,sand,NA,6
purple,belly,a,7
wet,foot,a,8
bald,baby,a,9
round,edge,an,10
yellow,scarf,a,11
round,cracker,a,12
orange,finger,a,13
gold,reindeer,a,14
red,light,a,15
wooden,wood,NA,16
silky,fur,NA,17
brown,orange,an,18
hot,carrot,a,19
orange,tree,a,20
curly,paper,a,1
brown,goldfish,a,2
red,ribbon,a,3
brown,kitty,a,4
purple,truck,a,5
naked,kid,a,6
yellow,fuzz,NA,7
dirty,nail,a,8
green,monkey,a,9
dirty,bear,a,10
pink,sweater,a,11
purple,porch,a,12
yellow,fence,a,13
red,sheep,a,14
wet,spot,a,15
yellow,lemonade,NA,16
red,heel,a,17
wet,card,a,18
gold,hill,a,19
grey,button,a,20
plastic,ball,a,1
red,piece,a,2
purple,flag,a,3
colored,balloon,a,4
green,dog,a,5
green,bear,a,6
green,cow,a,7
purple,bug,a,8
green,foot,a,9
pink,rectangle,a,10
red,barn,a,11
bright,sun,a,12
green,money,NA,13
hot,rod,a,14
orange,orange,an,15
fuzzy,foot,a,16
pink,pillow,a,17
yellow,eye,an,18
yellow,collar,a,19
sandy,person,a,20
brown,shoe,a,1
gold,bow,a,2
hot,egg,an,3
gold,gift,a,4
fuzzy,bunny,a,5
purple,star,a,6
colored,ball,a,7
gold,mountain,a,8
orange,egg,an,9
wet,tummy,a,10
green,sugar,NA,11
flat,pile,a,12
salty,sandwich,a,13
pink,fish,a,14
wet,dog,a,15
red,body,a,16
purple,tail,a,17
hot,shark,a,18
square,block,a,19
wet,stair,a,20
dirty,mitt,a,1
red,milk,NA,2
wet,mop,a,3
silver,maid,a,4
plastic,dinosaur,a,5
colored,stroller,a,6
dirty,candle,a,7
green,tube,a,8
purple,picture,a,9
mechanic,shoe,a,10
purple,water,NA,11
bright,feather,a,12
grey,sky,a,13
green,shovel,a,14
bottom,bunk,a,15
yellow,brush,a,16
pink,hat,a,17
outdoor,art,NA,18
red,village,a,19
green,game,a,20
hot,bubble,a,1
dirty,toast,NA,2
icy,drink,a,3
solid,tomato,a,4
upstairs,dress,a,5
dirty,spoon,a,6
giant,carrot,a,7
juicy,worm,a,8
orange,ladybug,a,9
